Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
                0.00    0.00       4/175         Ui_Loading::setupUi(QWidget*) [128]
                0.00    0.00       5/175         operator+(char const*, QString const&) [68]
                0.00    0.00       7/175         Ui_Form::setupUi(QWidget*) [208]
                0.00    0.00      16/175         Ui_registr::setupUi(QDialog*) [130]
                0.00    0.00      17/175         Ui_Dialog::setupUi(QDialog*) [217]
                0.00    0.00      17/175         operator+(QString const&, char const*) [31]
                0.00    0.00      32/175         Ui_MainWindow::setupUi(QMainWindow*) [137]
                0.00    0.00      77/175         Ui_Kabinet::setupUi(QDialog*) [126]
[14]     0.0    0.00    0.00     175         QString::fromUtf8(char const*, int) [14]
-----------------------------------------------
                0.00    0.00       2/160         QList<UniKey>::value(int) const [113]
                0.00    0.00       8/160         QList<ACore::ASett>::replace(int, ACore::ASett const&) [43]
                0.00    0.00       8/160         QList<QString>::value(int) const [47]
